S0,K,T,C_mkt,iv_market
664.46,575.0,0.0,84.56,0.9965820654296875
664.46,580.0,0.0,94.58,0.8242205078124999
664.46,585.0,0.0,79.04,1.0087940185546875
664.46,590.0,0.0,89.22,0.905274384765625
664.46,605.0,0.0,53.43,0.745119736328125
664.46,610.0,0.0,65.37,0.700198310546875
664.46,615.0,0.0,47.81,0.6418492846679689
664.46,625.0,0.0,35.02,0.506840869140625
664.46,630.0,0.0,32.62,1.0000000000000003e-05
664.46,632.0,0.0,29.1,1.0000000000000003e-05
664.46,635.0,0.0,25.84,1.0000000000000003e-05
664.46,640.0,0.0,24.44,1.0000000000000003e-05
664.46,642.0,0.0,17.09,1.0000000000000003e-05
664.46,644.0,0.0,17.44,1.0000000000000003e-05
664.46,645.0,0.0,19.62,1.0000000000000003e-05
664.46,646.0,0.0,16.3,1.0000000000000003e-05
664.46,647.0,0.0,12.83,1.0000000000000003e-05
664.46,648.0,0.0,16.6,1.0000000000000003e-05
664.46,649.0,0.0,15.78,1.0000000000000003e-05
664.46,650.0,0.0,14.5,1.0000000000000003e-05
664.46,651.0,0.0,12.67,1.0000000000000003e-05
664.46,652.0,0.0,12.68,1.0000000000000003e-05
664.46,653.0,0.0,10.97,1.0000000000000003e-05
664.46,654.0,0.0,11.15,0.129891513671875
664.46,655.0,0.0,10.06,0.15357291748046875
664.46,656.0,0.0,8.96,0.13941290283203128
664.46,657.0,0.0,8.7,0.16553568847656253
664.46,658.0,0.0,7.79,0.1706625903320313
664.46,659.0,0.0,7.11,0.1782308740234375
664.46,660.0,0.0,6.44,0.17078465942382814
664.46,661.0,0.0,5.75,0.17017431396484378
664.46,662.0,0.0,4.6,0.17108983215332033
664.46,663.0,0.0,4.14,0.17054052124023442
664.46,664.0,0.0,3.55,0.1687094848632813
664.46,665.0,0.0,3.05,0.16797707031250003
664.46,666.0,0.0,2.6,0.1694418994140625
664.46,667.0,0.0,2.23,0.1706625903320313
664.46,668.0,0.0,1.86,0.16767189758300782
664.46,669.0,0.0,1.48,0.1671225866699219
664.46,670.0,0.0,1.23,0.1671225866699219
664.46,671.0,0.0,1.02,0.1671225866699219
664.46,672.0,0.0,0.8,0.1637046520996094
664.46,673.0,0.0,0.62,0.1645591357421875
664.46,674.0,0.0,0.48,0.1638267211914063
664.46,675.0,0.0,0.37,0.16358258300781253
664.46,676.0,0.0,0.31,0.16700051757812504
664.46,677.0,0.0,0.24,0.16748879394531252
664.46,678.0,0.0,0.17,0.165047412109375
664.46,679.0,0.0,0.13,0.16602396484375004
664.46,680.0,0.0,0.09,0.16700051757812504
664.46,681.0,0.0,0.06,0.1694418994140625
