S0,K,T,C_mkt,iv_market
664.02,575.0,0.0,84.56,0.710940390625
664.02,580.0,0.0,94.58,1.1367230664062502
664.02,585.0,0.0,78.59,0.6093789062500001
664.02,590.0,0.0,89.22,1.0366259106445317
664.02,605.0,0.0,53.43,0.8608412353515625
664.02,610.0,0.0,65.37,0.5712933496093751
664.02,615.0,0.0,47.81,0.7104521142578125
664.02,625.0,0.0,35.02,0.6203651245117189
664.02,630.0,0.0,32.62,0.41699801757812494
664.02,632.0,0.0,29.1,0.35596347167968745
664.02,635.0,0.0,25.84,0.3569400244140625
664.02,640.0,0.0,24.44,0.30591514404296877
664.02,642.0,0.0,17.09,0.3178779150390625
664.02,644.0,0.0,17.44,0.30054410400390624
664.02,645.0,0.0,19.62,0.2929758203124999
664.02,646.0,0.0,16.3,0.2788158056640625
664.02,647.0,0.0,12.83,0.28125718749999995
664.02,648.0,0.0,16.6,0.273444765625
664.02,649.0,0.0,15.78,0.2640454455566406
664.02,650.0,0.0,14.17,0.2563550927734375
664.02,651.0,0.0,12.67,0.2563550927734375
664.02,652.0,0.0,12.68,0.2268143725585937
664.02,653.0,0.0,10.97,0.24073024902343748
664.02,654.0,0.0,11.15,0.21875781249999998
664.02,655.0,0.0,9.88,0.23401644897460935
664.02,656.0,0.0,8.96,0.2124102197265625
664.02,657.0,0.0,8.7,0.22290816162109373
664.02,658.0,0.0,8.0,0.21778125976562498
664.02,659.0,0.0,7.12,0.2082598706054687
664.02,660.0,0.0,6.48,0.2104571142578125
664.02,661.0,0.0,5.78,0.2004474487304687
664.02,662.0,0.0,5.08,0.20667297241210933
664.02,663.0,0.0,4.47,0.2004474487304687
664.02,664.0,0.0,3.88,0.19733468688964845
664.02,665.0,0.0,3.43,0.1977619287109375
664.02,666.0,0.0,2.93,0.19507640869140624
664.02,667.0,0.0,2.38,0.1895832995605469
664.02,668.0,0.0,2.09,0.18811847045898436
664.02,669.0,0.0,1.7,0.18665364135742188
664.02,670.0,0.0,1.4,0.18262536132812499
664.02,671.0,0.0,1.12,0.17957363403320312
664.02,672.0,0.0,0.88,0.17798673583984376
664.02,673.0,0.0,0.71,0.17603363037109376
664.02,674.0,0.0,0.53,0.176766044921875
664.02,675.0,0.0,0.41,0.17176121215820314
664.02,676.0,0.0,0.32,0.17163914306640626
664.02,677.0,0.0,0.25,0.1733481103515625
664.02,678.0,0.0,0.17,0.17115086669921875
664.02,679.0,0.0,0.13,0.17237155761718753
664.02,680.0,0.0,0.1,0.17090672851562502
664.02,681.0,0.0,0.07,0.17285983398437502
664.02,682.0,0.0,0.06,0.17383638671875
664.02,683.0,0.0,0.05,0.176766044921875
664.02,684.0,0.0,0.03,0.179695703125
664.02,685.0,0.0,0.03,0.179695703125
664.02,686.0,0.0,0.02,0.187508125
664.02,687.0,0.0,0.02,0.195320546875
664.02,688.0,0.0,0.02,0.1914143359375
664.02,689.0,0.0,0.02,0.1992267578125
664.02,690.0,0.0,0.02,0.20703917968749996
664.02,691.0,0.0,0.02,0.21289849609375
664.02,692.0,0.0,0.02,0.21875781249999998
664.02,693.0,0.0,0.01,0.22657023437499998
664.02,694.0,0.0,0.01,0.23438265625
664.02,695.0,0.0,0.01,0.24024197265624997
664.02,696.0,0.0,0.01,0.2461012890625
664.02,697.0,0.0,0.02,0.25391371093750004
664.02,698.0,0.0,0.01,0.25977302734375
664.02,699.0,0.0,0.01,0.26563234375
664.02,700.0,0.0,0.01,0.25391371093750004
664.02,701.0,0.0,0.02,0.2617261328125
664.02,702.0,0.0,0.02,0.26563234375
664.02,703.0,0.0,0.01,0.273444765625
664.02,704.0,0.0,0.01,0.28125718749999995
664.02,705.0,0.0,0.01,0.28516339843749994
