S0,K,T,C_mkt,iv_market
662.8,575.0,0.0,84.56,1.1806681591796875
662.8,580.0,0.0,94.58,1.0922896948242187
662.8,585.0,0.0,78.59,1.0649460815429688
662.8,590.0,0.0,89.22,0.9819337744140625
662.8,605.0,0.0,53.43,0.8464370825195311
662.8,610.0,0.0,65.37,0.7846701220703125
662.8,615.0,0.0,47.81,0.7138700488281251
662.8,625.0,0.0,35.02,0.6320837573242188
662.8,630.0,0.0,32.62,0.5141650146484374
662.8,632.0,0.0,29.1,0.5004932763671875
662.8,635.0,0.0,25.84,0.4621635815429688
662.8,640.0,0.0,24.44,0.4057676611328125
662.8,642.0,0.0,17.09,0.383795224609375
662.8,644.0,0.0,17.44,0.358404853515625
662.8,645.0,0.0,19.62,0.3549869189453124
662.8,646.0,0.0,16.3,0.3414372497558594
662.8,647.0,0.0,12.83,0.33350275878906255
662.8,648.0,0.0,16.6,0.32031929687499994
662.8,649.0,0.0,15.38,0.31323928955078123
662.8,650.0,0.0,14.17,0.3061592822265625
662.8,651.0,0.0,12.67,0.2999337585449219
662.8,652.0,0.0,12.68,0.26758544921875
662.8,653.0,0.0,10.97,0.28113511840820304
662.8,654.0,0.0,11.1,0.2708813146972656
662.8,655.0,0.0,9.99,0.2672192419433594
662.8,656.0,0.0,8.96,0.2576978527832031
662.8,657.0,0.0,8.7,0.2541578491210938
662.8,658.0,0.0,7.7,0.24646749633789064
662.8,659.0,0.0,6.8,0.2337723107910156
662.8,660.0,0.0,5.9,0.22473919799804684
662.8,661.0,0.0,5.64,0.2304764453125
662.8,662.0,0.0,4.81,0.22278609252929685
662.8,663.0,0.0,4.21,0.2196122961425781
662.8,664.0,0.0,3.53,0.21088435607910155
662.8,665.0,0.0,3.17,0.21198297790527343
662.8,666.0,0.0,2.74,0.20899228515624996
662.8,667.0,0.0,2.34,0.2048419360351562
662.8,668.0,0.0,1.91,0.20063055236816402
662.8,669.0,0.0,1.55,0.19312330322265625
662.8,670.0,0.0,1.25,0.19361157958984376
662.8,671.0,0.0,1.02,0.18824053955078124
662.8,672.0,0.0,0.79,0.188484677734375
662.8,673.0,0.0,0.68,0.18726398681640627
662.8,674.0,0.0,0.51,0.18433432861328125
662.8,675.0,0.0,0.39,0.1840901904296875
662.8,676.0,0.0,0.27,0.18116053222656248
662.8,677.0,0.0,0.21,0.18164880859375
662.8,678.0,0.0,0.16,0.18164880859375
662.8,679.0,0.0,0.12,0.18164880859375
662.8,680.0,0.0,0.09,0.1821370849609375
662.8,681.0,0.0,0.07,0.180672255859375
662.8,682.0,0.0,0.05,0.18457846679687498
662.8,683.0,0.0,0.05,0.187508125
662.8,684.0,0.0,0.03,0.18946123046875002
662.8,685.0,0.0,0.03,0.18946123046875002
662.8,686.0,0.0,0.02,0.19727365234375
662.8,687.0,0.0,0.02,0.195320546875
662.8,688.0,0.0,0.02,0.20117986328124998
662.8,689.0,0.0,0.02,0.20899228515624996
662.8,690.0,0.0,0.02,0.2148516015625
662.8,691.0,0.0,0.02,0.22266402343749997
662.8,692.0,0.0,0.02,0.22852333984375
662.8,693.0,0.0,0.01,0.23633576171874998
662.8,694.0,0.0,0.01,0.242195078125
662.8,695.0,0.0,0.01,0.2500075
662.8,696.0,0.0,0.01,0.25586681640625003
662.8,697.0,0.0,0.01,0.2617261328125
662.8,698.0,0.0,0.01,0.2695385546875
662.8,699.0,0.0,0.02,0.27539787109374997
662.8,700.0,0.0,0.01,0.26563234375
662.8,701.0,0.0,0.02,0.2695385546875
662.8,702.0,0.0,0.02,0.273444765625
662.8,703.0,0.0,0.01,0.28125718749999995
662.8,704.0,0.0,0.01,0.2890696093749999
662.8,705.0,0.0,0.01,0.2929758203124999
662.8,706.0,0.0,0.01,0.3007882421875
662.8,707.0,0.0,0.01,0.304694453125
662.8,708.0,0.0,0.01,0.31250687499999996
662.8,709.0,0.0,0.01,0.32031929687499994
662.8,710.0,0.0,0.01,0.3242255078124999
662.8,711.0,0.0,0.01,0.32813171874999997
662.8,712.0,0.0,0.01,0.335944140625
662.8,713.0,0.0,0.02,0.3437565625
662.8,714.0,0.0,0.01,0.34766277343749996
662.8,715.0,0.0,0.01,0.35156898437499995
662.8,716.0,0.0,0.03,0.35938140625
662.8,717.0,0.0,0.01,0.367193828125
662.8,718.0,0.0,0.01,0.37500625
662.8,719.0,0.0,0.02,0.37500625
662.8,720.0,0.0,0.01,0.38281867187499996
662.8,722.0,0.0,0.03,0.398443515625
662.8,723.0,0.0,0.03,0.398443515625
662.8,724.0,0.0,0.03,0.4062559375
662.8,725.0,0.0,0.02,0.414068359375
662.8,728.0,0.0,0.02,0.42969320312500003
662.8,729.0,0.0,0.01,0.437505625
662.8,730.0,0.0,0.01,0.437505625
662.8,735.0,0.0,0.01,0.4687553125
662.8,740.0,0.0,0.01,0.500005
662.8,745.0,0.0,0.01,0.500005
662.8,750.0,0.0,0.01,0.5546919531250001
662.8,765.0,0.0,0.01,0.632816171875
662.8,780.0,0.0,0.01,0.710940390625
662.8,500.0,0.04,160.33,0.8040791076660156
662.8,505.0,0.04,165.5,0.7855246057128906
662.8,510.0,0.04,164.32,0.7576928527832032
662.8,515.0,0.04,154.92,0.7375514526367187
662.8,520.0,0.04,142.08,0.7220486779785156
662.8,525.0,0.04,148.83,0.703250037841797
662.8,530.0,0.04,153.64,0.6774324249267578
662.8,535.0,0.04,139.25,0.6527134338378908
662.8,540.0,0.04,125.55,0.6279334082031252
662.8,545.0,0.04,120.6,0.6140175317382813
662.8,550.0,0.04,134.55,0.59570716796875
662.8,555.0,0.04,119.61,0.5794719787597657
662.8,560.0,0.04,101.74,0.5611616149902343
662.8,565.0,0.04,110.74,0.5432784930419923
662.8,570.0,0.04,106.67,0.5091601818847658
662.8,575.0,0.04,110.1,0.5039112109375
662.8,580.0,0.04,81.2,0.5164843273925781
