K,T,call_price_heston,put_price_heston,call_iv_heston,put_iv_heston
612.19,0.1,55.70954915371326,4.649999211213509,0.25912093698385363,0.26240762321704625
617.19,0.1,51.6963258564798,5.431097829827438,0.2599819550189376,0.2593943134137393
622.19,0.1,47.29096201965984,6.244119879621861,0.2517123254654705,0.25506347405752544
627.19,0.1,43.5831396114309,7.247234212004759,0.25332075519630315,0.25201329881829027
632.19,0.1,39.595974619540435,8.369309664937314,0.24823165610983966,0.2487722994996309
637.19,0.1,35.934676938130465,9.647313482999863,0.245926955417335,0.2457273694638908
642.19,0.1,32.78710067683435,11.45954960929859,0.24831811256062983,0.24772772914451358
647.19,0.1,29.32303767806594,12.8509357858981,0.2441157359866053,0.24182720303782823
652.19,0.1,25.739509004477622,14.533417739206191,0.23634665083825587,0.23754979919222002
657.19,0.1,23.02441009012826,16.71964890811311,0.23708908555114275,0.23718987690466642
662.19,0.1,20.02261802072328,18.976114739443894,0.23195686254730818,0.2352740961304009
667.19,0.1,17.710231679702922,21.381416354542157,0.23269728560544553,0.23274796440398696
672.19,0.1,15.317240639116068,23.881959794210236,0.2300352554248422,0.22891975561337172
677.19,0.1,13.040142417582835,26.46573543182776,0.2262704957151413,0.2235354946211427
682.19,0.1,11.005003535564251,29.761973141410795,0.2229008697016835,0.2244316793614775
687.19,0.1,9.428417593754544,33.14436037119887,0.22286302079010006,0.22404703607222431
692.19,0.1,7.778159923310794,36.60035452419987,0.21927327504360672,0.22216481267940996
697.19,0.1,6.644510194274749,39.896329729165096,0.2204665886410177,0.2150925200328529
702.19,0.1,5.4160904040117055,43.893771539218044,0.217777706594795,0.2158227656080723
707.19,0.1,4.3151312668532364,48.038765876402074,0.214310418468535,0.21676469686752564
712.19,0.1,3.5510915502894718,52.14680327175179,0.21424187319558857,0.21461407402768734
612.19,0.2,62.652862429649296,9.813074647357595,0.2580988077550531,0.2535617961387336
617.19,0.2,58.16425657614853,11.255689603016815,0.24894822243276232,0.2550229727419019
622.19,0.2,54.703197067480325,12.370939071515163,0.25012988333377245,0.25171111847262084
627.19,0.2,51.31530524601918,13.550559180141208,0.25070155091014507,0.24808997601088884
632.19,0.2,47.14070687192376,14.828077420813047,0.24241496385219696,0.24445712124817068
637.19,0.2,43.86228970025395,16.337583582240978,0.2418301534647942,0.24200750690796974
642.19,0.2,40.365886701639425,17.725445377499877,0.23806439537829163,0.23736574023321272
647.19,0.2,37.306296708198786,19.829442690384678,0.23713062994700673,0.2380774934858829
652.19,0.2,33.97207651935603,21.128665340281447,0.23261352626213433,0.23052524981838468
657.19,0.2,31.24134536691041,23.234102002122633,0.23218115460130573,0.22888920826347173
662.19,0.2,28.170399794573832,25.677691353335447,0.2276331161367297,0.2289144061018526
667.19,0.2,25.480401086987925,28.03754779916979,0.2251233309677988,0.22699059360973536
672.19,0.2,22.69084082051846,30.27425764155062,0.22052593990670144,0.22278852995978293
677.19,0.2,20.731037818586714,32.842536483731685,0.22171186253555117,0.22012992704282697
682.19,0.2,18.373191822639622,36.129901688287134,0.2182309100581408,0.2223864374282211
687.19,0.2,16.3751690223375,38.410447091282634,0.21655676627215747,0.21459912817795576
692.19,0.2,14.761848945829547,41.739467967543256,0.2170383862214834,0.21469006987378003
697.19,0.2,12.855064758567668,44.90367792457593,0.21356448198626934,0.2119879258073569
702.19,0.2,11.261611578585901,48.40464961205124,0.21163458982646463,0.21111017378498617
707.19,0.2,9.931191761357125,52.51321811011901,0.2109656624682397,0.21507253759567438
712.19,0.2,8.591645583183995,55.61207428077122,0.2088866992409229,0.20741828068065643
612.19,0.30000000000000004,68.37087684651634,14.51563131243142,0.25410108352421235,0.2524210090820045
617.19,0.30000000000000004,64.27838841515118,15.534418794772147,0.24871731426981092,0.2482799656261205
622.19,0.30000000000000004,60.36264251460658,16.830478941010316,0.24427938037519156,0.24582780318990344
627.19,0.30000000000000004,56.53046692072237,18.09449643897664,0.2399270088625849,0.24242962658014894
632.19,0.30000000000000004,53.30306154855907,19.404673464540018,0.23963172774764896,0.2387337697709054
637.19,0.30000000000000004,49.64695670693937,21.36888580177672,0.2352851676820963,0.2392919667110294
642.19,0.30000000000000004,46.18746860128892,22.250148199266434,0.23173400100335484,0.2310300410501957
647.19,0.30000000000000004,43.88102700615506,24.429473226823504,0.2357878280499876,0.23160710284152625
652.19,0.30000000000000004,39.957214844693816,26.62337281159831,0.22739282025161384,0.23142213491259517
657.19,0.30000000000000004,37.4858472692616,28.205111915935955,0.22856343940322096,0.22611300549997387
662.19,0.30000000000000004,34.4484011745942,30.2986694389719,0.2249369772322625,0.22362637671238184
667.19,0.30000000000000004,31.509103872251504,32.64960498633726,0.22119780279074608,0.22210875456705687
672.19,0.30000000000000004,29.203694716208872,34.56371819399278,0.22101702208392318,0.21673917120392625
677.19,0.30000000000000004,26.314363487956957,37.416573009878974,0.21595166052350406,0.21701365031863748
682.19,0.30000000000000004,24.003409342033752,40.161555255210565,0.2140259853881002,0.21569492867402731
687.19,0.30000000000000004,21.93478556788138,42.91218695397346,0.21293022959546745,0.2135530379059166
692.19,0.30000000000000004,20.213536004212393,45.39822312177932,0.21345452642777568,0.2086143807924241
697.19,0.30000000000000004,18.26712952004959,49.0891957580869,0.21152178814902906,0.21146829303383824
702.19,0.30000000000000004,16.494768516845777,52.18736301559664,0.2099775525564253,0.20917695866955816
707.19,0.30000000000000004,14.834474364590363,55.27898359069577,0.20838764495043458,0.20587891776289047
712.19,0.30000000000000004,13.265452730262064,59.11306591255563,0.20660002893543244,0.20745972076849642
