S0,K,T,P_mkt,iv_market
660.08,667.0,0.44,31.01,0.1626975820922852
660.08,668.0,0.44,30.96,0.16188887435913085
660.08,669.0,0.44,31.31,0.1608207698059082
660.08,670.0,0.44,31.81,0.16057663162231445
660.08,671.0,0.44,32.23,0.1593864579772949
660.08,672.0,0.44,32.5,0.15833361206054689
660.08,673.0,0.44,32.93,0.15787585296630857
660.08,674.0,0.44,33.91,0.15699085205078128
660.08,675.0,0.44,36.5,0.15554128158569336
660.08,676.0,0.44,37.37,0.15469442726135255
660.08,677.0,0.44,34.46,0.15404593521118165
660.08,678.0,0.44,38.63,0.15259636474609378
660.08,679.0,0.44,35.2,0.15204705383300782
660.08,680.0,0.44,35.86,0.15116205291748053
660.08,681.0,0.44,36.32,0.15135278587341314
660.08,682.0,0.44,36.75,0.14998713790893559
660.08,683.0,0.44,36.98,0.14916317153930664
660.08,684.0,0.44,33.31,0.14878170562744142
660.08,685.0,0.44,39.39,0.1468133415222168
660.08,686.0,0.44,34.12,0.14712614356994627
660.08,687.0,0.44,39.31,0.1451196328735352
660.08,688.0,0.44,34.46,0.1453027365112305
660.08,689.0,0.44,34.11,0.14447877014160154
660.08,690.0,0.44,43.81,0.142685880355835
660.08,691.0,0.44,34.56,0.1427545442199707
660.08,692.0,0.44,36.34,0.1419305778503418
660.08,693.0,0.44,36.03,0.1408014387512207
660.08,694.0,0.44,37.08,0.13980962738037112
660.08,695.0,0.44,37.97,0.1391535060119629
660.08,696.0,0.44,36.91,0.13811591873168944
660.08,697.0,0.44,39.59,0.1379022978210449
660.08,698.0,0.44,37.74,0.13703255554199223
660.08,699.0,0.44,38.26,0.13546091598510746
660.08,700.0,0.44,46.9,0.13442332870483398
660.08,701.0,0.44,34.29,0.13469798416137696
660.08,702.0,0.44,34.9,0.13384350051879884
660.08,704.0,0.44,41.82,0.1316615155029297
660.08,705.0,0.44,50.18,0.1307002214050293
660.08,707.0,0.44,51.17,0.13001358276367186
660.08,710.0,0.44,55.54,0.12535969863891605
660.08,711.0,0.44,40.42,0.12720599365234375
660.08,715.0,0.44,57.02,0.12281150634765625
660.08,720.0,0.44,66.42,0.11965296859741209
660.08,725.0,0.44,48.26,0.11713529357910156
660.08,730.0,0.44,74.17,0.12900651275634767
660.08,740.0,0.44,68.0,0.1283046154785156
660.08,745.0,0.44,63.18,0.1299525482177734
660.08,750.0,0.44,76.0,0.13376720733642578
660.08,810.0,0.44,134.0,0.19623606506347657
660.08,245.0,0.57,0.78,0.5827678442382812
660.08,250.0,0.57,0.76,0.5754436987304687
660.08,255.0,0.57,0.89,0.5681195532226562
660.08,260.0,0.57,0.84,0.5612836840820312
660.08,265.0,0.57,0.89,0.5534712622070312
660.08,270.0,0.57,0.72,0.5466353930664063
660.08,275.0,0.57,1.01,0.5393112475585939
660.08,280.0,0.57,1.07,0.5330857238769531
660.08,285.0,0.57,1.15,0.5267381311035157
660.08,290.0,0.57,1.18,0.5196581237792968
