S0,K,T,C_mkt,P_mkt,iv_market
673.56,500.0,0.01,173.77,,0.0
673.56,505.0,0.01,168.84,,0.0
673.56,510.0,0.01,163.81,,0.0
673.56,515.0,0.01,158.82,,0.0
673.56,520.0,0.01,153.88,,0.8977
673.56,525.0,0.01,148.82,,0.8773
673.56,530.0,0.01,143.87,,0.0
673.56,535.0,0.01,138.77,,0.0
673.56,540.0,0.01,133.9,,0.7843
673.56,545.0,0.01,128.75,,0.7395
673.56,550.0,0.01,123.82,,0.7254
673.56,555.0,0.01,118.87,,0.0
673.56,560.0,0.01,113.87,,0.6671
673.56,565.0,0.01,108.84,,0.6407
673.56,570.0,0.01,103.88,,0.6141
673.56,575.0,0.01,98.78,,0.0
673.56,580.0,0.01,93.91,,0.4385
673.56,585.0,0.01,88.9,,0.5376
673.56,590.0,0.01,83.91,,0.5313
673.56,595.0,0.01,78.78,,0.4162
673.56,600.0,0.01,73.83,,0.3646
673.56,603.0,0.01,70.96,,0.4405
673.56,604.0,0.01,69.97,,0.4423
673.56,605.0,0.01,68.97,,0.4541
673.56,606.0,0.01,67.84,,0.0
673.56,607.0,0.01,66.88,,0.3538
673.56,608.0,0.01,65.9,,0.3669
673.56,609.0,0.01,64.97,,0.4271
673.56,610.0,0.01,63.84,,0.3436
673.56,611.0,0.01,62.84,,0.3895
673.56,612.0,0.01,61.95,,0.3836
673.56,613.0,0.01,60.95,,0.3776
673.56,614.0,0.01,59.98,,0.3767
673.56,615.0,0.01,58.94,,0.3602
673.56,616.0,0.01,58.03,,0.367
673.56,617.0,0.01,56.94,,0.0
673.56,618.0,0.01,55.87,,0.304
673.56,619.0,0.01,54.88,,0.2984
673.56,620.0,0.01,53.97,,0.3736
673.56,621.0,0.01,52.83,,0.3433
673.56,622.0,0.01,51.96,,0.2916
673.56,623.0,0.01,50.89,,0.3331
673.56,624.0,0.01,49.86,,0.3251
673.56,625.0,0.01,48.97,,0.2928
673.56,626.0,0.01,47.98,,0.3129
673.56,627.0,0.01,46.98,,0.3087
673.56,628.0,0.01,45.99,,0.3079
673.56,629.0,0.01,44.99,,0.3
673.56,630.0,0.01,43.99,,0.2939
673.56,631.0,0.01,43.0,,0.291
673.56,632.0,0.01,42.0,,0.2864
673.56,633.0,0.01,41.01,,0.2817
673.56,634.0,0.01,40.02,,0.2783
673.56,635.0,0.01,39.03,,0.276
673.56,636.0,0.01,38.03,,0.2684
673.56,637.0,0.01,37.04,,0.2646
673.56,638.0,0.01,36.05,,0.2606
673.56,639.0,0.01,35.06,,0.2564
673.56,640.0,0.01,34.02,,0.2394
673.56,641.0,0.01,33.13,,0.2562
673.56,642.0,0.01,32.13,,0.2486
673.56,643.0,0.01,31.15,,0.2454
673.56,644.0,0.01,30.18,,0.2442
673.56,645.0,0.01,29.09,,0.2215
673.56,646.0,0.01,28.22,,0.2347
673.56,647.0,0.01,27.25,,0.2317
673.56,648.0,0.01,26.25,,0.2259
673.56,649.0,0.01,25.28,,0.2218
673.56,650.0,0.01,24.23,,0.2066
673.56,651.0,0.01,23.35,,0.2155
673.56,652.0,0.01,22.4,,0.2125
673.56,653.0,0.01,21.44,,0.2081
