S0,K,T,C_mkt,P_mkt,iv_market
671.16,500.0,0.01,,0.01,0.7868
671.16,505.0,0.01,,0.01,0.761
671.16,510.0,0.01,,0.01,0.735
671.16,515.0,0.01,,0.03,0.7417
671.16,520.0,0.01,,0.03,0.7152
671.16,525.0,0.01,,0.03,0.6892
671.16,530.0,0.01,,0.03,0.6636
671.16,535.0,0.01,,0.04,0.6582
671.16,540.0,0.01,,0.04,0.6321
671.16,545.0,0.01,,0.04,0.6211
671.16,550.0,0.01,,0.04,0.5948
671.16,555.0,0.01,,0.06,0.5808
671.16,560.0,0.01,,0.06,0.5542
671.16,565.0,0.01,,0.07,0.5375
671.16,570.0,0.01,,0.08,0.5192
671.16,575.0,0.01,,0.08,0.4923
671.16,580.0,0.01,,0.08,0.4754
671.16,585.0,0.01,,0.11,0.457
671.16,590.0,0.01,,0.11,0.4347
671.16,595.0,0.01,,0.14,0.4157
671.16,600.0,0.01,,0.15,0.395
671.16,603.0,0.01,,0.17,0.3829
671.16,604.0,0.01,,0.17,0.3787
671.16,605.0,0.01,,0.18,0.376
671.16,606.0,0.01,,0.18,0.3702
671.16,607.0,0.01,,0.2,0.3672
671.16,608.0,0.01,,0.2,0.3628
671.16,609.0,0.01,,0.21,0.3582
671.16,610.0,0.01,,0.21,0.3549
671.16,611.0,0.01,,0.22,0.3515
671.16,612.0,0.01,,0.23,0.3467
671.16,613.0,0.01,,0.23,0.343
671.16,614.0,0.01,,0.24,0.3382
671.16,615.0,0.01,,0.26,0.3354
671.16,616.0,0.01,,0.27,0.3314
671.16,617.0,0.01,,0.28,0.3272
671.16,618.0,0.01,,0.29,0.324
671.16,619.0,0.01,,0.3,0.3196
671.16,620.0,0.01,,0.32,0.316
671.16,621.0,0.01,,0.34,0.3123
671.16,622.0,0.01,,0.35,0.3093
671.16,623.0,0.01,,0.37,0.306
671.16,624.0,0.01,,0.39,0.3025
671.16,625.0,0.01,,0.41,0.2988
671.16,626.0,0.01,,0.43,0.2957
671.16,627.0,0.01,,0.46,0.2929
671.16,628.0,0.01,,0.49,0.2899
671.16,629.0,0.01,,0.53,0.2872
671.16,630.0,0.01,,0.56,0.2837
671.16,631.0,0.01,,0.6,0.281
671.16,632.0,0.01,,0.65,0.2785
671.16,633.0,0.01,,0.69,0.2761
671.16,634.0,0.01,,0.75,0.2734
671.16,635.0,0.01,,0.8,0.2712
671.16,636.0,0.01,,0.86,0.2686
671.16,637.0,0.01,,0.94,0.2664
671.16,638.0,0.01,,1.01,0.2646
671.16,639.0,0.01,,1.09,0.2623
671.16,640.0,0.01,,1.17,0.2603
671.16,641.0,0.01,,1.27,0.2581
671.16,642.0,0.01,,1.38,0.2564
671.16,643.0,0.01,,1.49,0.2542
671.16,644.0,0.01,,1.61,0.252
671.16,645.0,0.01,,1.74,0.2502
671.16,646.0,0.01,,1.88,0.2481
671.16,647.0,0.01,,2.04,0.246
671.16,648.0,0.01,,2.2,0.2441
671.16,649.0,0.01,,2.37,0.2423
671.16,650.0,0.01,,2.56,0.2401
671.16,651.0,0.01,,2.75,0.2381
671.16,652.0,0.01,,2.98,0.236
671.16,653.0,0.01,,3.21,0.234
671.16,654.0,0.01,,3.45,0.2319
671.16,655.0,0.01,,3.71,0.2299
671.16,656.0,0.01,,3.98,0.2277
671.16,657.0,0.01,,4.27,0.2253
671.16,658.0,0.01,,4.58,0.223
671.16,659.0,0.01,,4.92,0.2212
671.16,660.0,0.01,,5.27,0.2191
671.16,661.0,0.01,,5.63,0.2167
671.16,662.0,0.01,,6.04,0.2144
671.16,663.0,0.01,,6.45,0.2121
671.16,664.0,0.01,,6.89,0.2096
671.16,665.0,0.01,,7.35,0.2073
671.16,666.0,0.01,,7.84,0.2048
671.16,667.0,0.01,,8.36,0.2025
671.16,668.0,0.01,,8.9,0.2002
671.16,669.0,0.01,,9.47,0.1978
671.16,670.0,0.01,,10.06,0.1956
671.16,671.0,0.01,,10.69,0.193
671.16,672.0,0.01,,11.35,0.1907
671.16,673.0,0.01,,12.04,0.1886
671.16,674.0,0.01,,12.74,0.1856
671.16,675.0,0.01,,13.48,0.184
